attempt_week,attempts_with_positive_dli,avg_dli,rating_5,rating_4
2025-12-29,2,4.5,1,1
2026-01-05,17,4.71,12,5
2026-01-12,32,4.75,24,8
2026-01-19,31,4.87,27,4
2026-01-26,115,4.79,92,24
2026-02-02,83,4.76,63,20
2026-02-09,92,4.73,68,25
2026-02-16,154,4.79,122,32
2026-02-23,197,4.8,157,40
2026-03-02,160,4.78,124,36
2026-03-09,173,4.77,134,39
2026-03-16,218,4.78,171,47
2026-03-23,213,4.78,166,47
2026-03-30,212,4.79,167,45
2026-04-06,53,4.96,51,2
