week_start,week_label,transcript_reporting_n,autocomplete_disable_n,not_available_n,quality_loops_n,observe_sync_n
2025-11-17,Nov W3 '25,0,0,1,0,0
2025-11-24,Nov W4 '25,2,0,1,1,0
2025-12-01,Dec W1 '25,2,1,0,0,0
2026-02-02,Feb W1 '26,3,2,1,1,0
2026-02-16,Feb W3 '26,1,1,2,1,2
2026-02-23,Feb W4 '26,1,0,1,0,0
2026-03-02,Mar W1 '26,1,0,1,0,0
